person_id,height,bust,waist,hips,product_id,garment_bust,garment_waist,garment_hip,garment_length,garment_sleeve,label_status,bust_ease,waist_ease,hip_ease,bust_ratio,waist_ratio,hip_ratio,bust_mismatch,waist_mismatch,hip_mismatch,bust_relative_mismatch,waist_relative_mismatch,hip_relative_mismatch,mean_ease,ease_std,known_fit_dimensions,tight_dimension_count,extreme_ease_count,length_height_ratio,physical_mismatch,missing_measurement_count,measurement_complete
Jess,176.0,99.0,78.0,112.0,lilly-layer-stripe-tank#NavyWhite,102.0,108.0,120.0,66.0,,unknown,3.0,30.0,8.0,1.0303030303030303,1.3846153846153846,1.0714285714285714,3.0,30.0,8.0,0.030303030303030304,0.38461538461538464,0.07142857142857142,13.666666666666666,14.364307617610162,3,0,0,0.375,0.1621156621156621,1,False
Jess,176.0,99.0,78.0,112.0,reversible-scoopv-neck-tank#Black,96.0,102.0,112.0,69.0,,positive,-3.0,24.0,0.0,0.9696969696969697,1.3076923076923077,1.0,3.0,24.0,0.0,0.030303030303030304,0.3076923076923077,0.0,7.0,14.798648586948742,3,1,0,0.39204545454545453,0.11266511266511266,1,False
Jess,176.0,99.0,78.0,112.0,the-essential-pullover#SkyBlue,140.0,,137.0,68.0,,unknown,41.0,,25.0,1.4141414141414141,,1.2232142857142858,41.0,,25.0,0.41414141414141414,,0.22321428571428573,33.0,11.313708498984761,2,0,0,0.38636363636363635,0.3186778499278499,2,False
Jess,176.0,99.0,78.0,112.0,belle-drape-tee#Sliver,129.0,119.0,131.0,71.0,79.0,unknown,30.0,41.0,19.0,1.303030303030303,1.5256410256410255,1.1696428571428572,30.0,41.0,19.0,0.30303030303030304,0.5256410256410257,0.16964285714285715,30.0,11.0,3,0,0,0.4034090909090909,0.3327713952713953,0,True
Jess,176.0,99.0,78.0,112.0,maui-stretch-tee#Black,130.0,96.0,96.0,66.0,29.0,unknown,31.0,18.0,-16.0,1.3131313131313131,1.2307692307692308,0.8571428571428571,31.0,18.0,16.0,0.31313131313131315,0.23076923076923078,0.14285714285714285,11.0,24.269322199023193,3,1,0,0.375,0.22891922891922892,0,True
Jess,176.0,99.0,78.0,112.0,the-cut-out-shoulder-blouse#Salmon,130.0,128.0,122.0,64.0,39.0,positive,31.0,50.0,10.0,1.3131313131313131,1.641025641025641,1.0892857142857142,31.0,50.0,10.0,0.31313131313131315,0.6410256410256411,0.08928571428571429,30.333333333333332,20.008331597945226,3,0,0,0.36363636363636365,0.34781422281422286,0,True
Jess,176.0,99.0,78.0,112.0,layered-sleeve-top#Moss,137.0,118.0,115.0,63.0,45.0,unknown,38.0,40.0,3.0,1.3838383838383839,1.5128205128205128,1.0267857142857142,38.0,40.0,3.0,0.3838383838383838,0.5128205128205128,0.026785714285714284,27.0,20.808652046684813,3,0,0,0.35795454545454547,0.3078148703148703,0,True
Jess,176.0,99.0,78.0,112.0,millie-top#BlackSpot,104.0,100.0,110.0,65.0,72.0,unknown,5.0,22.0,-2.0,1.0505050505050506,1.2820512820512822,0.9821428571428571,5.0,22.0,2.0,0.050505050505050504,0.28205128205128205,0.017857142857142856,8.333333333333334,12.342339054382412,3,1,0,0.3693181818181818,0.1168044918044918,0,True
Jess,176.0,99.0,78.0,112.0,softly-swinging-bamboo-tee#Chambray,109.0,120.0,164.0,77.0,32.0,positive,10.0,42.0,52.0,1.101010101010101,1.5384615384615385,1.4642857142857142,10.0,42.0,52.0,0.10101010101010101,0.5384615384615384,0.4642857142857143,34.666666666666664,21.93931022920578,3,0,1,0.4375,0.3679191179191179,0,True
Jess,176.0,99.0,78.0,112.0,coil-print-hi-lo-shirt#White,112.0,134.0,150.0,76.0,73.0,unknown,13.0,56.0,38.0,1.1313131313131313,1.7179487179487178,1.3392857142857142,13.0,56.0,38.0,0.13131313131313133,0.717948717948718,0.3392857142857143,35.666666666666664,21.594752448994022,3,0,1,0.4318181818181818,0.3961825211825212,0,True
